	V1	num	avg_r2	lowerci	upperci
58	58	100	0.632542163023287	0.628759751438802	0.636324574607772
59	59	100	0.634095988703485	0.630359685999078	0.637832291407892
60	60	100	0.635316750194036	0.631639862464682	0.63899363792339
61	61	100	0.636320492862153	0.632645887755678	0.639995097968629
62	62	100	0.637238419871214	0.633542833277575	0.640934006464853
63	63	100	0.638267178856617	0.634567754586454	0.64196660312678
64	64	100	0.63933693812613	0.635594478998698	0.643079397253561
65	65	100	0.640437678133534	0.636762273300756	0.644113082966312
66	66	100	0.64140894200266	0.637750194215598	0.645067689789723
67	67	100	0.642610194151131	0.63900693948382	0.646213448818443
68	68	100	0.643445249431737	0.639837688603594	0.647052810259879
69	69	100	0.644542132701534	0.640928576109397	0.648155689293671
70	70	100	0.645551801133157	0.641967649727192	0.649135952539121
71	71	100	0.646455241658578	0.642887282449222	0.650023200867935
72	72	100	0.647396043418085	0.64383536455944	0.650956722276731
73	73	100	0.648378644392927	0.644855821036231	0.651901467749624
74	74	100	0.649313580167399	0.645772057291402	0.652855103043395
75	75	100	0.650452369186078	0.646924349083869	0.653980389288287
76	76	100	0.651384810535372	0.647857619554968	0.654912001515776
77	77	100	0.652201956375404	0.648680753953858	0.65572315879695
78	78	100	0.653053948619823	0.649581309228096	0.656526588011549
79	79	100	0.65390604499811	0.650460200792927	0.657351889203293
80	80	100	0.654742787674897	0.651314543562066	0.658171031787728
81	81	100	0.655524221791794	0.652096053681133	0.658952389902456
82	82	100	0.656405179856195	0.652998998477164	0.659811361235226
83	83	100	0.657010196579216	0.653578757434379	0.660441635724053
84	84	100	0.658043848030438	0.654653692652221	0.661434003408654
85	85	100	0.659079516382571	0.655706630061065	0.662452402704077
86	86	100	0.659832139636089	0.656465798217291	0.663198481054886
87	87	100	0.660800789409168	0.657412447361727	0.664189131456609
88	88	100	0.661531737539461	0.658151581203725	0.664911893875196
89	89	100	0.662404961408052	0.659036367255542	0.665773555560561
90	90	100	0.663401693307652	0.660048830986724	0.66675455562858
91	91	100	0.66440459253687	0.661111719727658	0.667697465346082
92	92	100	0.664950564037056	0.66169100636083	0.668210121713282
93	93	100	0.665702516369876	0.6624651155029	0.668939917236851
94	94	100	0.666741081186664	0.663562096348891	0.669920066024438
95	95	100	0.667742549282726	0.664610260765912	0.670874837799539
96	96	100	0.668534610530996	0.665388920789959	0.671680300272033
97	97	100	0.669429123300205	0.666277383223271	0.672580863377138
98	98	100	0.670141907997692	0.666993445925274	0.67329037007011
99	99	100	0.670737218520621	0.667602173869541	0.6738722631717
100	100	100	0.671389909765744	0.668228904044288	0.674550915487201
101	101	100	0.672018838108803	0.668877619138295	0.675160057079312
102	102	100	0.672747290309573	0.669587091962366	0.67590748865678
103	103	100	0.673548770025896	0.670415469010436	0.676682071041356
104	104	100	0.674374876849271	0.671265324895679	0.677484428802863
105	105	100	0.675034893202271	0.671939486599616	0.678130299804926
106	106	100	0.675708846412103	0.672595138144069	0.678822554680138
107	107	100	0.676513153853145	0.673432336367057	0.679593971339234
108	108	100	0.677255155285814	0.67414066476796	0.680369645803668
109	109	100	0.677831211853278	0.6746974113223	0.680965012384255
110	110	100	0.678601352368879	0.675468337916345	0.681734366821413
111	111	100	0.679298967366436	0.676152955840635	0.682444978892237
112	112	100	0.680027048058263	0.676909496767962	0.683144599348563
113	113	100	0.680856697823184	0.677741656776458	0.683971738869911
114	114	100	0.681537967128467	0.678437567137852	0.684638367119081
115	115	100	0.682231292942468	0.679122474494722	0.685340111390215
116	116	100	0.682771758283276	0.679658659427256	0.685884857139295
117	117	100	0.683521080900185	0.680386501072603	0.686655660727768
118	118	100	0.683973745395608	0.680845771729964	0.687101719061252
119	119	100	0.684662620409633	0.681530344278509	0.687794896540757
120	120	100	0.685378900502812	0.682250169577793	0.688507631427831
121	121	100	0.686089948529715	0.682984104658205	0.689195792401226
122	122	100	0.68689374213035	0.683767726721053	0.690019757539648
123	123	100	0.687452416232529	0.68433730862461	0.690567523840448
124	124	100	0.687966662561344	0.68486182454554	0.691071500577149
125	125	100	0.688603024907477	0.685527565462236	0.691678484352718
126	126	100	0.689403759376603	0.686334672063175	0.69247284669003
127	127	100	0.690162391638869	0.687103526809616	0.693221256468121
128	128	100	0.690799535843515	0.687787596076156	0.693811475610874
129	129	100	0.69137224491866	0.688376716358623	0.694367773478698
130	130	100	0.691938268337523	0.688947394608809	0.694929142066237
131	131	100	0.692419350742187	0.689421313472167	0.695417388012206
132	132	100	0.693117958495613	0.690099211050009	0.696136705941217
133	133	100	0.693590727033152	0.690565284267993	0.696616169798311
134	134	100	0.694200272152291	0.691160603910161	0.697239940394421
135	135	100	0.694825979455804	0.691787518542966	0.697864440368643
136	136	100	0.695468588348729	0.692439786022333	0.698497390675124
137	137	100	0.696023116944314	0.692995518766553	0.699050715122074
138	138	100	0.69658577760547	0.693563581948454	0.699607973262485
139	139	100	0.697116649923662	0.694088992826703	0.70014430702062
140	140	100	0.697721420530196	0.694687342216346	0.700755498844045
141	141	100	0.698135236520203	0.695105758884194	0.701164714156212
142	142	100	0.698620641436618	0.695608079719064	0.701633203154173
143	143	100	0.699287060318494	0.696261035637586	0.702313084999403
144	144	100	0.699860126059132	0.696833787545653	0.702886464572611
145	145	100	0.700593491976745	0.697595841223351	0.703591142730138
146	146	100	0.701054629477704	0.698075192167246	0.704034066788163
147	147	100	0.701610169141726	0.69863550231057	0.704584835972883
