	V1	error	rep	config	gwas_size	test_size	L	type
209	17	0.872275265058409	D9	C1	1000	1000	3400	PC1
210	18	0.653498563882812	D9	C1	1000	1000	5500	PC1
211	19	0.410631709531514	D9	C1	1000	1000	9000	PC1
212	20	0.242354553033503	D9	C1	1000	1000	14600	PC1
213	21	0.163406158955272	D9	C1	1000	1000	23600	PC1
214	22	0.113074574662797	D9	C1	1000	1000	38200	PC1
215	23	0.0686034352290215	D9	C1	1000	1000	61800	PC1
216	24	0.0410288496296929	D9	C1	1000	1000	1e+05	PC1
217	1	0.942022940795649	D10	C1	1000	1000	500	FGr
218	2	0.932549871206555	D10	C1	1000	1000	810	FGr
219	3	0.89413617397881	D10	C1	1000	1000	1320	FGr
220	4	0.811850723145763	D10	C1	1000	1000	2100	FGr
221	5	0.725037317571927	D10	C1	1000	1000	3400	FGr
222	6	0.646700012356186	D10	C1	1000	1000	5500	FGr
223	7	0.494587353268671	D10	C1	1000	1000	9000	FGr
224	8	0.397400606361624	D10	C1	1000	1000	14600	FGr
225	9	0.285338374566432	D10	C1	1000	1000	23600	FGr
226	10	0.190125360774107	D10	C1	1000	1000	38200	FGr
227	11	0.138195670735401	D10	C1	1000	1000	61800	FGr
228	12	0.0911114393550559	D10	C1	1000	1000	1e+05	FGr
229	13	0.996825734786248	D10	C1	1000	1000	500	PC1
230	14	0.999003029859903	D10	C1	1000	1000	810	PC1
231	15	0.993552733346199	D10	C1	1000	1000	1320	PC1
232	16	0.959211131981862	D10	C1	1000	1000	2100	PC1
233	17	0.816436226487256	D10	C1	1000	1000	3400	PC1
234	18	0.563770225551055	D10	C1	1000	1000	5500	PC1
235	19	0.432443582874285	D10	C1	1000	1000	9000	PC1
236	20	0.259841877427498	D10	C1	1000	1000	14600	PC1
237	21	0.171304641405289	D10	C1	1000	1000	23600	PC1
238	22	0.1035845864509	D10	C1	1000	1000	38200	PC1
239	23	0.0681616729607145	D10	C1	1000	1000	61800	PC1
240	24	0.0430785556605902	D10	C1	1000	1000	1e+05	PC1
241	1	0.94435252825544	D11	C1	1000	1000	500	FGr
242	2	0.920420408469965	D11	C1	1000	1000	810	FGr
243	3	0.905190697177374	D11	C1	1000	1000	1320	FGr
244	4	0.804190860888973	D11	C1	1000	1000	2100	FGr
245	5	0.707307243493085	D11	C1	1000	1000	3400	FGr
246	6	0.59952327274494	D11	C1	1000	1000	5500	FGr
247	7	0.517448315023892	D11	C1	1000	1000	9000	FGr
248	8	0.414398777986959	D11	C1	1000	1000	14600	FGr
249	9	0.315663558856119	D11	C1	1000	1000	23600	FGr
250	10	0.219524426370295	D11	C1	1000	1000	38200	FGr
251	11	0.136976530931945	D11	C1	1000	1000	61800	FGr
252	12	0.0916915836340919	D11	C1	1000	1000	1e+05	FGr
253	13	0.999955552705537	D11	C1	1000	1000	500	PC1
254	14	0.999900781065182	D11	C1	1000	1000	810	PC1
255	15	0.999174193571204	D11	C1	1000	1000	1320	PC1
256	16	0.893605483889714	D11	C1	1000	1000	2100	PC1
257	17	0.798675828218811	D11	C1	1000	1000	3400	PC1
258	18	0.606962255020254	D11	C1	1000	1000	5500	PC1
259	19	0.435350356388947	D11	C1	1000	1000	9000	PC1
260	20	0.270035170342111	D11	C1	1000	1000	14600	PC1
261	21	0.199658681344947	D11	C1	1000	1000	23600	PC1
262	22	0.110682359991567	D11	C1	1000	1000	38200	PC1
263	23	0.0701545100424493	D11	C1	1000	1000	61800	PC1
264	24	0.0444276958855329	D11	C1	1000	1000	1e+05	PC1
265	1	0.957001372737106	D12	C1	1000	1000	500	FGr
266	2	0.906767800201024	D12	C1	1000	1000	810	FGr
267	3	0.903146496702677	D12	C1	1000	1000	1320	FGr
268	4	0.786469199886373	D12	C1	1000	1000	2100	FGr
269	5	0.754946826618261	D12	C1	1000	1000	3400	FGr
270	6	0.675527262119099	D12	C1	1000	1000	5500	FGr
271	7	0.53944177352778	D12	C1	1000	1000	9000	FGr
272	8	0.406592672071394	D12	C1	1000	1000	14600	FGr
273	9	0.297588516106176	D12	C1	1000	1000	23600	FGr
274	10	0.219385573950536	D12	C1	1000	1000	38200	FGr
275	11	0.142731303894571	D12	C1	1000	1000	61800	FGr
276	12	0.0931657012474276	D12	C1	1000	1000	1e+05	FGr
277	13	0.999863684675437	D12	C1	1000	1000	500	PC1
278	14	0.994552220011414	D12	C1	1000	1000	810	PC1
279	15	0.980208351952168	D12	C1	1000	1000	1320	PC1
280	16	0.840466185384928	D12	C1	1000	1000	2100	PC1
281	17	0.934689214001997	D12	C1	1000	1000	3400	PC1
282	18	0.608823985818617	D12	C1	1000	1000	5500	PC1
283	19	0.408762432538094	D12	C1	1000	1000	9000	PC1
284	20	0.270280685352933	D12	C1	1000	1000	14600	PC1
285	21	0.173169533640109	D12	C1	1000	1000	23600	PC1
286	22	0.12191504715074	D12	C1	1000	1000	38200	PC1
287	23	0.0698506821012046	D12	C1	1000	1000	61800	PC1
288	24	0.0458947912241736	D12	C1	1000	1000	1e+05	PC1
289	1	0.924164615492542	D13	C1	1000	1000	500	FGr
290	2	0.943759459207853	D13	C1	1000	1000	810	FGr
291	3	0.902056304873326	D13	C1	1000	1000	1320	FGr
292	4	0.853100054746109	D13	C1	1000	1000	2100	FGr
293	5	0.815010960947192	D13	C1	1000	1000	3400	FGr
294	6	0.652724572751241	D13	C1	1000	1000	5500	FGr
295	7	0.523808733808897	D13	C1	1000	1000	9000	FGr
296	8	0.389165986415261	D13	C1	1000	1000	14600	FGr
297	9	0.287423669305261	D13	C1	1000	1000	23600	FGr
298	10	0.210128753831745	D13	C1	1000	1000	38200	FGr
299	11	0.138148727341995	D13	C1	1000	1000	61800	FGr
300	12	0.0873927886530562	D13	C1	1000	1000	1e+05	FGr
301	13	0.990092073798977	D13	C1	1000	1000	500	PC1
302	14	0.999864162035138	D13	C1	1000	1000	810	PC1
303	15	0.995425387509906	D13	C1	1000	1000	1320	PC1
304	16	0.951383908849948	D13	C1	1000	1000	2100	PC1
305	17	0.943458371522948	D13	C1	1000	1000	3400	PC1
306	18	0.576987725098659	D13	C1	1000	1000	5500	PC1
307	19	0.436869234813784	D13	C1	1000	1000	9000	PC1
308	20	0.262145146680767	D13	C1	1000	1000	14600	PC1
309	21	0.18110687480992	D13	C1	1000	1000	23600	PC1
310	22	0.105851186298642	D13	C1	1000	1000	38200	PC1
311	23	0.0675593620082796	D13	C1	1000	1000	61800	PC1
312	24	0.0419658538542497	D13	C1	1000	1000	1e+05	PC1
313	1	0.93059144952994	D14	C1	1000	1000	500	FGr
314	2	0.918700702017304	D14	C1	1000	1000	810	FGr
315	3	0.888442196637029	D14	C1	1000	1000	1320	FGr
316	4	0.83657264265816	D14	C1	1000	1000	2100	FGr
317	5	0.761137122175275	D14	C1	1000	1000	3400	FGr
318	6	0.626862743118274	D14	C1	1000	1000	5500	FGr
319	7	0.511511030891428	D14	C1	1000	1000	9000	FGr
320	8	0.386353322027717	D14	C1	1000	1000	14600	FGr
321	9	0.298769394491324	D14	C1	1000	1000	23600	FGr
322	10	0.202699702110281	D14	C1	1000	1000	38200	FGr
323	11	0.138341975279392	D14	C1	1000	1000	61800	FGr
324	12	0.0942524368432962	D14	C1	1000	1000	1e+05	FGr
325	13	0.999616099883932	D14	C1	1000	1000	500	PC1
326	14	0.99575590090421	D14	C1	1000	1000	810	PC1
327	15	0.993363193941574	D14	C1	1000	1000	1320	PC1
328	16	0.999936013739241	D14	C1	1000	1000	2100	PC1
329	17	0.998276322384174	D14	C1	1000	1000	3400	PC1
330	18	0.608561967456368	D14	C1	1000	1000	5500	PC1
331	19	0.388623460082655	D14	C1	1000	1000	9000	PC1
332	20	0.287027239803823	D14	C1	1000	1000	14600	PC1
333	21	0.17308808371865	D14	C1	1000	1000	23600	PC1
334	22	0.113448253571033	D14	C1	1000	1000	38200	PC1
335	23	0.0721659718084668	D14	C1	1000	1000	61800	PC1
336	24	0.0414501725064376	D14	C1	1000	1000	1e+05	PC1
337	1	0.949540295876954	D15	C1	1000	1000	500	FGr
338	2	0.913203455623221	D15	C1	1000	1000	810	FGr
