	FGr	10	35	100	rep	gwas_size	test_size	test	L
21	0.0641916027963424	0.0767614017422507	0.0359138560483585	0.0317531931387317	A2	2160	720	PS	15000
22	0.0672379984744186	0.0745717860122363	0.0363744189795997	0.0314293999363119	A2	2160	720	PS	14000
23	0.0726063267032874	0.0784866740427739	0.0404160545979191	0.0348876656637968	A2	2160	720	PS	13000
24	0.0773734799241508	0.0801797222862921	0.044026407526632	0.0378009882643665	A2	2160	720	PS	12000
25	0.0859365233743373	0.0774018353952583	0.0442263300808169	0.0388051097733234	A2	2160	720	PS	11000
26	0.094236264833628	0.0898579029671044	0.0515793816467242	0.044542762939506	A2	2160	720	PS	10000
27	0.11329450527315	0.0871984221058634	0.0532531070883298	0.0478179353634274	A2	2160	720	PS	9000
28	0.113200050423032	0.0944281094680957	0.0624144787707138	0.0526936333486796	A2	2160	720	PS	8000
29	0.136861081305011	0.0936663288608161	0.0658646222467367	0.0556661867327181	A2	2160	720	PS	7000
30	0.147232391354295	0.0945292890921703	0.073274100803206	0.0634936360534095	A2	2160	720	PS	6000
31	0.0556610904158528	0.0716765855267051	0.0295802615245218	0.0260240366783017	A3	2160	720	PS	20000
32	0.0584653311416461	0.0766070117387339	0.0310433952947904	0.027251110886495	A3	2160	720	PS	19000
33	0.061230740832399	0.07056634073521	0.0328549035422946	0.0286634042736097	A3	2160	720	PS	18000
34	0.063587257110751	0.0716610357602362	0.0339978750362389	0.0288844869813225	A3	2160	720	PS	17000
35	0.0662127499183701	0.0789337320724171	0.0352051206222516	0.0310383112907119	A3	2160	720	PS	16000
36	0.0697943179473533	0.0760157924573779	0.037300016003864	0.0325181255438891	A3	2160	720	PS	15000
37	0.0730532964355224	0.0749904234838217	0.0384360819208391	0.0336175707749877	A3	2160	720	PS	14000
38	0.0792759036741678	0.0780280798424887	0.0423649742905884	0.0368681088498135	A3	2160	720	PS	13000
39	0.0854824880834018	0.0800825229214587	0.0469036834745937	0.0391043519395724	A3	2160	720	PS	12000
40	0.0935616881284985	0.077237816241434	0.0466756532265789	0.0410238782749252	A3	2160	720	PS	11000
41	0.0996604141856139	0.0817433941881888	0.0501824187891559	0.0442970916897578	A3	2160	720	PS	10000
42	0.107643302437706	0.0835410819941853	0.0549898906924515	0.0466943388271318	A3	2160	720	PS	9000
43	0.130657024246705	0.0907865876092564	0.0595250201254549	0.0508798518843323	A3	2160	720	PS	8000
44	0.144497272272352	0.0892958934291154	0.0666605655311431	0.0566961571659275	A3	2160	720	PS	7000
45	0.160385468458964	0.0945226314544529	0.0755708517139037	0.0661339420727875	A3	2160	720	PS	6000
46	0.0532968494299351	0.0701451966071391	0.0295005229515481	0.0252201003667221	A4	2160	720	PS	20000
47	0.0548065320629342	0.0692410420946262	0.0301474870096454	0.0273590067005237	A4	2160	720	PS	19000
48	0.0588743544765032	0.0747340514954883	0.0316935023749998	0.0286205689349052	A4	2160	720	PS	18000
49	0.0627191418354695	0.072352641093027	0.0319939565393674	0.0283100338867111	A4	2160	720	PS	17000
50	0.0697468924761073	0.0732197767261827	0.0378303765741194	0.032140523675451	A4	2160	720	PS	16000
51	0.0711329260053554	0.0758738671855648	0.0385090907107254	0.0332688063524776	A4	2160	720	PS	15000
52	0.0745659105133708	0.0766024643073295	0.039087035059505	0.0339406230201008	A4	2160	720	PS	14000
53	0.0877385616525352	0.0792001298613209	0.0429971652941089	0.0372463048786721	A4	2160	720	PS	13000
54	0.0865088698342209	0.0777939399878166	0.0424984019676294	0.0375903600837495	A4	2160	720	PS	12000
55	0.0896837874250226	0.0799842793606552	0.0455419457978502	0.040148318137103	A4	2160	720	PS	11000
56	0.10636998599421	0.082029087646649	0.0531046719302932	0.046424405452011	A4	2160	720	PS	10000
57	0.113413322930367	0.0840219721276809	0.0563376302602152	0.0501844967252925	A4	2160	720	PS	9000
58	0.120960272047715	0.0902167172288175	0.0588291983571244	0.0515325319400012	A4	2160	720	PS	8000
59	0.140411630542063	0.0955205241894559	0.0727213437746165	0.0602383668113209	A4	2160	720	PS	7000
60	0.173474559458064	0.101030471891324	0.0798895766639208	0.0678584374396226	A4	2160	720	PS	6000
61	0.0543964017610993	0.0681090173194445	0.0272628410333258	0.0244477085956373	A5	2160	720	PS	20000
62	0.0554892209929638	0.0683315981744888	0.0271624445445497	0.0240783622219537	A5	2160	720	PS	19000
63	0.0606490532934939	0.0711982163091196	0.0295751971786035	0.0263665322618936	A5	2160	720	PS	18000
64	0.0673314692114473	0.0706208324019362	0.0303556410988096	0.0276905960501763	A5	2160	720	PS	17000
65	0.0694405687958035	0.0708181846020574	0.032677456325264	0.0295852886215232	A5	2160	720	PS	16000
66	0.0683114232454154	0.0736357114825872	0.0342323017102404	0.0305243148671347	A5	2160	720	PS	15000
67	0.075031911485083	0.0763095415745644	0.0364295363479249	0.0323291072648724	A5	2160	720	PS	14000
68	0.0879120122279099	0.0816386116305579	0.0406178110727036	0.0359634464075439	A5	2160	720	PS	13000
69	0.0879985707227034	0.0812583697799694	0.0429561643680217	0.0377412244841824	A5	2160	720	PS	12000
70	0.0932222168531842	0.0762165032065677	0.0430701229852979	0.0376617519747983	A5	2160	720	PS	11000
71	0.105477310128875	0.0812338223935226	0.0491064065793679	0.0431573827069791	A5	2160	720	PS	10000
72	0.109985392413661	0.0776245993267855	0.052757389818198	0.0466071657455746	A5	2160	720	PS	9000
73	0.126926710343474	0.0864320903763938	0.0571987774504116	0.049362331278711	A5	2160	720	PS	8000
74	0.138541552355843	0.0935330468373143	0.0700811001434763	0.0608185508062695	A5	2160	720	PS	7000
75	0.160920092591781	0.0975617873456572	0.0784744841656347	0.0683970730962292	A5	2160	720	PS	6000
76	0.0517190418395936	0.0689942889383024	0.0299013495918794	0.0255247054596045	A6	2160	720	PS	20000
77	0.0562320505756111	0.0705215136336427	0.0311261536687416	0.0272119245157042	A6	2160	720	PS	19000
78	0.0570678745504308	0.0714333240351405	0.0317032027051721	0.0275743488550537	A6	2160	720	PS	18000
79	0.0590182152672549	0.0726920131035107	0.0330941303960606	0.0298609018598328	A6	2160	720	PS	17000
80	0.0642820472788163	0.0736282883474115	0.037140385992361	0.0312859099141374	A6	2160	720	PS	16000
81	0.0680883044192225	0.0756772895504649	0.0386227653411486	0.0333138391897236	A6	2160	720	PS	15000
82	0.0737325226801702	0.0776741898989729	0.0398171133421699	0.0343442061603452	A6	2160	720	PS	14000
83	0.0795087575307976	0.0750910691977419	0.0406442148353442	0.0355110803750025	A6	2160	720	PS	13000
84	0.0863687680608073	0.0805126521571924	0.0457473113323572	0.0399214920921885	A6	2160	720	PS	12000
85	0.0934312500395274	0.0773756626226385	0.0463707749329169	0.0399255497853296	A6	2160	720	PS	11000
86	0.0992499367410766	0.0752949837754508	0.0472821058625985	0.040525118766601	A6	2160	720	PS	10000
87	0.108760119803952	0.0837711913734422	0.0555917911961431	0.0489317197217346	A6	2160	720	PS	9000
88	0.119591054877351	0.095071229023422	0.0639312570308347	0.0547741076482441	A6	2160	720	PS	8000
89	0.14910904729582	0.0902965512768971	0.0692761619390945	0.059561775786342	A6	2160	720	PS	7000
90	0.163007968894894	0.0965655295742802	0.0760949113594761	0.0671430334809494	A6	2160	720	PS	6000
91	0.05236382203474	0.0677595739244332	0.0268302817049781	0.024312655099954	A7	2160	720	PS	20000
92	0.0556684282241702	0.0669881378764548	0.027454926474848	0.0250189497112813	A7	2160	720	PS	19000
93	0.0577916696007657	0.0682981422237045	0.0289218461053682	0.0263792498378306	A7	2160	720	PS	18000
94	0.0631613315133913	0.0712797733973617	0.0322847672280973	0.0286238009482797	A7	2160	720	PS	17000
95	0.0642792847934289	0.0682672038638407	0.0340588044215173	0.0303187469320886	A7	2160	720	PS	16000
96	0.0703850128548	0.0729504863514819	0.0364377591001983	0.0321364576688273	A7	2160	720	PS	15000
97	0.0745325013340382	0.0697153023998565	0.0363772269175048	0.0328887939556835	A7	2160	720	PS	14000
98	0.0801560732133334	0.0729512881031867	0.0376032241299842	0.0329548339479091	A7	2160	720	PS	13000
99	0.0845002233427455	0.0769725465190105	0.0418554427194855	0.036685539335957	A7	2160	720	PS	12000
100	0.0971164728887719	0.0746867694963039	0.0465751658428722	0.0413520489827275	A7	2160	720	PS	11000
101	0.100696237383536	0.0769529805054481	0.0485434334285401	0.0429380658998203	A7	2160	720	PS	10000
102	0.108089662643841	0.079723899639487	0.0563522277582468	0.0489285142394922	A7	2160	720	PS	9000
103	0.119534311243251	0.0869851540360964	0.0601561118540374	0.0528365253296798	A7	2160	720	PS	8000
104	0.131657679172429	0.0901943935713508	0.0682187494573254	0.058779432230376	A7	2160	720	PS	7000
105	0.163454767952685	0.0978199493322265	0.0751448546300962	0.0637274007767893	A7	2160	720	PS	6000
106	0.0580600924695119	0.0715378528092662	0.0284463933736088	0.024522944865618	A8	2160	720	PS	20000
107	0.0574107038162808	0.0709126965448226	0.028708004970913	0.0249365495168176	A8	2160	720	PS	19000
108	0.0659941861270573	0.0731987994155274	0.0298580806334899	0.0263753526135848	A8	2160	720	PS	18000
109	0.0669661975298128	0.0751472817132071	0.0335573782061916	0.0292288794490002	A8	2160	720	PS	17000
110	0.0707768464978391	0.076297147857623	0.0338805729874846	0.0290630481010482	A8	2160	720	PS	16000
111	0.0758664037805828	0.0748370457789168	0.0361284338743665	0.0312694697294017	A8	2160	720	PS	15000
112	0.079867437043056	0.078873390912154	0.0387795503788595	0.0334587279797518	A8	2160	720	PS	14000
113	0.0870892359599151	0.0773242721030589	0.0409270417026845	0.0348133804928799	A8	2160	720	PS	13000
114	0.0953808727946237	0.0824961467240688	0.0456334422527611	0.0395301723627549	A8	2160	720	PS	12000
115	0.0977367854139404	0.0804697314680499	0.0491522043666549	0.043253063719837	A8	2160	720	PS	11000
