	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
48	48	0.0121230836854997	0.0243994058950002	0	0.63	0.679	0.0121230836854997	0.0243994058950002	ID	10000	B1	C1	1000	10000	0	0.5	300	0.1
49	49	0.00748752827000001	0.00616327350000001	0	0.574	0.804	0.00748752827000001	0.00616327350000001	1	1000	B1	C1	10000	100	0	0.5	300	0
50	50	0.00281143275200001	-0.00650806550000002	0	0.822	0.776	0.00281143275200001	-0.00650806550000002	FGr	1000	B1	C1	10000	100	0	0.5	300	0
51	51	0.02036760127	0.029417399	0	0.121	0.171	0.02036760127	0.029417399	NoCorrection	1000	B1	C1	10000	100	0	0.5	300	0
52	52	0.00168517492	-0.0086945235	0	0.889	0.683	0.00168517492	-0.0086945235	ID	1000	B1	C1	10000	100	0	0.5	300	0
53	53	0.00548766980200002	-0.00654812099999999	0	0.597	0.731	0.00548766980200002	-0.00654812099999999	1	1000	B1	C1	10000	100	0	0.5	300	0.1
54	54	-3.28692500000094e-05	-0.014879284	0	0.999	0.431	-3.28692500000094e-05	-0.014879284	FGr	1000	B1	C1	10000	100	0	0.5	300	0.1
55	55	0.055109293135	0.119508139	0	0	0	0.055109293135	0.119508139	NoCorrection	1000	B1	C1	10000	100	0	0.5	300	0.1
56	56	-0.00259389187749999	-0.0225049805	0	0.807	0.232	-0.00259389187749999	-0.0225049805	ID	1000	B1	C1	10000	100	0	0.5	300	0.1
57	57	-0.00530815385	0.013781213	0	0.694	0.667	-0.00530815385	0.013781213	1	10000	B1	C1	10000	100	0	0.5	300	0
58	58	-0.0091717655535	-0.000268164999999994	0	0.469	0.996	-0.0091717655535	-0.000268164999999994	FGr	10000	B1	C1	10000	100	0	0.5	300	0
59	59	-0.040698201851	-0.1772555395	0	0.002	0	-0.040698201851	-0.1772555395	NoCorrection	10000	B1	C1	10000	100	0	0.5	300	0
60	60	-0.00617250224	0.0105738965	0	0.669	0.717	-0.00617250224	0.0105738965	ID	10000	B1	C1	10000	100	0	0.5	300	0
61	61	0.01147079305	0.0435081245	0	0.389	0.174	0.01147079305	0.0435081245	1	10000	B1	C1	10000	100	0	0.5	300	0.1
62	62	0.01623429702	0.0670911	0	0.228	0.033	0.01623429702	0.0670911	FGr	10000	B1	C1	10000	100	0	0.5	300	0.1
63	63	0.0777508952055	0.3747044225	0	0	0	0.0777508952055	0.3747044225	NoCorrection	10000	B1	C1	10000	100	0	0.5	300	0.1
64	64	0.01149157945	0.0436770325	0	0.388	0.158	0.01149157945	0.0436770325	ID	10000	B1	C1	10000	100	0	0.5	300	0.1
65	65	-0.000492511745499997	-0.00018311039999999	0	0.952	0.99	-0.000492511745499997	-0.00018311039999999	1	1000	B1	C1	10000	1000	0	0.5	300	0
66	66	0.0031251164245	0.00831380415	0	0.749	0.541	0.0031251164245	0.00831380415	FGr	1000	B1	C1	10000	1000	0	0.5	300	0
67	67	-0.004303190455	-0.00859672185000001	0	0.638	0.558	-0.004303190455	-0.00859672185000001	NoCorrection	1000	B1	C1	10000	1000	0	0.5	300	0
68	68	0.00264289366875002	0.00789350429999999	0	0.775	0.561	0.00264289366875002	0.00789350429999999	ID	1000	B1	C1	10000	1000	0	0.5	300	0
69	69	0.00773200926379998	-0.0046477297	0	0.356	0.748	0.00773200926379998	-0.0046477297	1	1000	B1	C1	10000	1000	0	0.5	300	0.1
70	70	0.00808527745049998	-0.00214572169999995	0	0.322	0.892	0.00808527745049998	-0.00214572169999995	FGr	1000	B1	C1	10000	1000	0	0.5	300	0.1
71	71	0.063183067241	0.14333455075	0	0	0	0.063183067241	0.14333455075	NoCorrection	1000	B1	C1	10000	1000	0	0.5	300	0.1
72	72	0.00770022315270001	-0.00542861530000003	0	0.391	0.693	0.00770022315270001	-0.00542861530000003	ID	1000	B1	C1	10000	1000	0	0.5	300	0.1
73	73	-0.00815414608183999	-0.0172413016	0	0.356	0.451	-0.00815414608183999	-0.0172413016	1	10000	B1	C1	10000	1000	0	0.5	300	0
74	74	-0.01210828604465	-0.0357619681499999	0	0.207	0.12	-0.01210828604465	-0.0357619681499999	FGr	10000	B1	C1	10000	1000	0	0.5	300	0
75	75	0.010236909018	0.1196994755	0	0.271	0	0.010236909018	0.1196994755	NoCorrection	10000	B1	C1	10000	1000	0	0.5	300	0
76	76	-0.0096390415658	-0.0201159787499999	0	0.254	0.383	-0.0096390415658	-0.0201159787499999	ID	10000	B1	C1	10000	1000	0	0.5	300	0
77	77	-3.53215506999982e-05	0.0202707458	0	0.999	0.381	-3.53215506999982e-05	0.0202707458	1	10000	B1	C1	10000	1000	0	0.5	300	0.1
78	78	0.00354433906489999	0.0332104965	0	0.7	0.135	0.00354433906489999	0.0332104965	FGr	10000	B1	C1	10000	1000	0	0.5	300	0.1
79	79	0.049734613804	0.35363638565	0	0	0	0.049734613804	0.35363638565	NoCorrection	10000	B1	C1	10000	1000	0	0.5	300	0.1
80	80	0.0027055377424	0.0308512705	0	0.752	0.168	0.0027055377424	0.0308512705	ID	10000	B1	C1	10000	1000	0	0.5	300	0.1
81	81	-0.00862544542787004	0.00251933514500003	0	0.359	0.835	-0.00862544542787004	0.00251933514500003	1	1000	B1	C1	10000	10000	0	0.5	300	0
82	82	-0.01693180425875	-0.00955628492499994	0	0.082	0.467	-0.01693180425875	-0.00955628492499994	FGr	1000	B1	C1	10000	10000	0	0.5	300	0
83	83	0.00225910779939499	0.022734967205	0	0.803	0.065	0.00225910779939499	0.022734967205	NoCorrection	1000	B1	C1	10000	10000	0	0.5	300	0
84	84	-0.0128000317845501	-0.00159838158500011	0	0.18	0.896	-0.0128000317845501	-0.00159838158500011	ID	1000	B1	C1	10000	10000	0	0.5	300	0
85	85	-0.00689827675890021	-0.0049945829150003	0	0.411	0.736	-0.00689827675890021	-0.0049945829150003	1	1000	B1	C1	10000	10000	0	0.5	300	0.1
86	86	-0.00485611637749978	-0.00231496939500017	0	0.581	0.877	-0.00485611637749978	-0.00231496939500017	FGr	1000	B1	C1	10000	10000	0	0.5	300	0.1
87	87	0.02961746464595	0.0702548599599999	0	0	0	0.02961746464595	0.0702548599599999	NoCorrection	1000	B1	C1	10000	10000	0	0.5	300	0.1
88	88	-0.00632290782157616	-0.00533464677499987	0	0.464	0.699	-0.00632290782157616	-0.00533464677499987	ID	1000	B1	C1	10000	10000	0	0.5	300	0.1
89	89	0.00968606448417498	0.00933623315999997	0	0.254	0.644	0.00968606448417498	0.00933623315999997	1	10000	B1	C1	10000	10000	0	0.5	300	0
90	90	0.00924523499729998	0.00776958876499997	0	0.283	0.682	0.00924523499729998	0.00776958876499997	FGr	10000	B1	C1	10000	10000	0	0.5	300	0
91	91	0.00744011439279996	-0.00440932651499987	0	0.402	0.82	0.00744011439279996	-0.00440932651499987	NoCorrection	10000	B1	C1	10000	10000	0	0.5	300	0
92	92	0.00851429481974999	0.00499466665999993	0	0.323	0.812	0.00851429481974999	0.00499466665999993	ID	10000	B1	C1	10000	10000	0	0.5	300	0
