	V1	error	rep	config	gwas_size	test_size	L	type
177	33	0.999441715687492	A3	C2	10000	1000	10000	FGr
178	34	0.999714570345632	A3	C2	10000	10000	300	FGr
179	35	0.999974869630672	A3	C2	10000	10000	1000	FGr
180	36	0.999770661745828	A3	C2	10000	10000	10000	FGr
181	37	0.271414516954996	A3	C1	1000	100	300	PC1
182	38	0.114747397131246	A3	C1	1000	100	1000	PC1
183	39	0.0119649425364367	A3	C1	1000	100	10000	PC1
184	40	0.321758445619786	A3	C1	1000	1000	300	PC1
185	41	0.121469330766406	A3	C1	1000	1000	1000	PC1
186	42	0.0119942195529962	A3	C1	1000	1000	10000	PC1
187	43	0.353733688625807	A3	C1	1000	10000	300	PC1
188	44	0.116374664245379	A3	C1	1000	10000	1000	PC1
189	45	0.0123003131122076	A3	C1	1000	10000	10000	PC1
190	46	0.263535718941406	A3	C1	10000	100	300	PC1
191	47	0.100394242197089	A3	C1	10000	100	1000	PC1
192	48	0.0112272977689254	A3	C1	10000	100	10000	PC1
193	49	0.272478836157476	A3	C1	10000	1000	300	PC1
194	50	0.100588026212353	A3	C1	10000	1000	1000	PC1
195	51	0.0116076270885768	A3	C1	10000	1000	10000	PC1
196	52	0.272993646481619	A3	C1	10000	10000	300	PC1
197	53	0.108039350862089	A3	C1	10000	10000	1000	PC1
198	54	0.011702954674267	A3	C1	10000	10000	10000	PC1
199	55	0.523109882685982	A3	C2	1000	100	300	PC1
200	56	0.249989665304833	A3	C2	1000	100	1000	PC1
201	57	0.0271887265342423	A3	C2	1000	100	10000	PC1
202	58	0.537931483495283	A3	C2	1000	1000	300	PC1
203	59	0.21934870184761	A3	C2	1000	1000	1000	PC1
204	60	0.0270047535950242	A3	C2	1000	1000	10000	PC1
205	61	0.568958988600994	A3	C2	1000	10000	300	PC1
206	62	0.223277711239168	A3	C2	1000	10000	1000	PC1
207	63	0.0288704167420379	A3	C2	1000	10000	10000	PC1
208	64	0.428307532100625	A3	C2	10000	100	300	PC1
209	65	0.185113788138492	A3	C2	10000	100	1000	PC1
210	66	0.0231254880560434	A3	C2	10000	100	10000	PC1
211	67	0.435154428067346	A3	C2	10000	1000	300	PC1
212	68	0.196078985052752	A3	C2	10000	1000	1000	PC1
213	69	0.0220091077165462	A3	C2	10000	1000	10000	PC1
214	70	0.439107130331496	A3	C2	10000	10000	300	PC1
215	71	0.190615029818982	A3	C2	10000	10000	1000	PC1
216	72	0.0226317398507615	A3	C2	10000	10000	10000	PC1
217	1	0.866194087382057	A4	C1	1000	100	300	FGr
218	2	0.522318909982281	A4	C1	1000	100	1000	FGr
219	3	0.0808255798466522	A4	C1	1000	100	10000	FGr
220	4	0.572709985256076	A4	C1	1000	1000	300	FGr
221	5	0.357246416820397	A4	C1	1000	1000	1000	FGr
222	6	0.0453392784494068	A4	C1	1000	1000	10000	FGr
223	7	0.612658688618916	A4	C1	1000	10000	300	FGr
224	8	0.27888493624044	A4	C1	1000	10000	1000	FGr
225	9	0.04267802884932	A4	C1	1000	10000	10000	FGr
226	10	0.767051849181309	A4	C1	10000	100	300	FGr
227	11	0.480195279560152	A4	C1	10000	100	1000	FGr
228	12	0.0801843177705246	A4	C1	10000	100	10000	FGr
229	13	0.635961293211139	A4	C1	10000	1000	300	FGr
230	14	0.338944008411886	A4	C1	10000	1000	1000	FGr
231	15	0.0459247433430485	A4	C1	10000	1000	10000	FGr
232	16	0.568134877273047	A4	C1	10000	10000	300	FGr
233	17	0.313380665760852	A4	C1	10000	10000	1000	FGr
234	18	0.0441281753374324	A4	C1	10000	10000	10000	FGr
235	19	0.996101155753602	A4	C2	1000	100	300	FGr
236	20	0.991666837702632	A4	C2	1000	100	1000	FGr
237	21	0.989110656692174	A4	C2	1000	100	10000	FGr
238	22	0.999433362257816	A4	C2	1000	1000	300	FGr
239	23	0.997210473299187	A4	C2	1000	1000	1000	FGr
240	24	0.999471921969278	A4	C2	1000	1000	10000	FGr
241	25	0.999994464186939	A4	C2	1000	10000	300	FGr
242	26	0.999841107341685	A4	C2	1000	10000	1000	FGr
243	27	0.999964882623875	A4	C2	1000	10000	10000	FGr
244	28	0.999997514175999	A4	C2	10000	100	300	FGr
245	29	0.998045896842376	A4	C2	10000	100	1000	FGr
246	30	0.996644368034799	A4	C2	10000	100	10000	FGr
247	31	0.992657494194055	A4	C2	10000	1000	300	FGr
248	32	0.997843715557295	A4	C2	10000	1000	1000	FGr
249	33	0.994625373751419	A4	C2	10000	1000	10000	FGr
250	34	0.986333213440507	A4	C2	10000	10000	300	FGr
251	35	0.99739287029124	A4	C2	10000	10000	1000	FGr
252	36	0.98761168235063	A4	C2	10000	10000	10000	FGr
253	37	0.335191837131251	A4	C1	1000	100	300	PC1
254	38	0.108882415960492	A4	C1	1000	100	1000	PC1
255	39	0.0122998944268555	A4	C1	1000	100	10000	PC1
256	40	0.312620975711169	A4	C1	1000	1000	300	PC1
257	41	0.108447420190299	A4	C1	1000	1000	1000	PC1
258	42	0.0122297978127184	A4	C1	1000	1000	10000	PC1
259	43	0.334202892467025	A4	C1	1000	10000	300	PC1
260	44	0.10333328262495	A4	C1	1000	10000	1000	PC1
261	45	0.0125124805064657	A4	C1	1000	10000	10000	PC1
262	46	0.293542408081374	A4	C1	10000	100	300	PC1
263	47	0.105566852521663	A4	C1	10000	100	1000	PC1
264	48	0.0113076845311778	A4	C1	10000	100	10000	PC1
265	49	0.293162106657993	A4	C1	10000	1000	300	PC1
266	50	0.103103853988117	A4	C1	10000	1000	1000	PC1
267	51	0.0110109799792383	A4	C1	10000	1000	10000	PC1
268	52	0.253229601816255	A4	C1	10000	10000	300	PC1
269	53	0.104793862200228	A4	C1	10000	10000	1000	PC1
270	54	0.0112375131678042	A4	C1	10000	10000	10000	PC1
271	55	0.520576127485143	A4	C2	1000	100	300	PC1
