	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
76	76	0.0369860001051998	-0.05602861755	0	0.179	0.382	0.0369860001051998	-0.05602861755	ID	38200	C1	C1	1000	1000	0	0.5	38200	0
77	77	-0.0114226080885502	-0.0241258987499999	0	0.682	0.715	-0.0114226080885502	-0.0241258987499999	1	38200	C1	C1	1000	1000	0	0.5	38200	1
78	78	0.0402052725274001	0.2549440443	0	0.223	0.001	0.0402052725274001	0.2549440443	FGr	38200	C1	C1	1000	1000	0	0.5	38200	1
79	79	0.0513253762180003	0.289413722	0	0.115	0.001	0.0513253762180003	0.289413722	NoCorrection	38200	C1	C1	1000	1000	0	0.5	38200	1
80	80	-0.0119567581018	0.0127842145999999	0	0.672	0.838	-0.0119567581018	0.0127842145999999	ID	38200	C1	C1	1000	1000	0	0.5	38200	1
81	81	-0.00979243163475033	-0.0216993610500002	0	0.762	0.795	-0.00979243163475033	-0.0216993610500002	1	61800	C1	C1	1000	1000	0	0.5	61800	0
82	82	-0.00753086549520003	0.0127652188000002	0	0.821	0.876	-0.00753086549520003	0.0127652188000002	FGr	61800	C1	C1	1000	1000	0	0.5	61800	0
83	83	-0.0107378427944002	-0.0245897679500001	0	0.763	0.747	-0.0107378427944002	-0.0245897679500001	NoCorrection	61800	C1	C1	1000	1000	0	0.5	61800	0
84	84	-0.00934697334382509	-0.0179152317499996	0	0.788	0.835	-0.00934697334382509	-0.0179152317499996	ID	61800	C1	C1	1000	1000	0	0.5	61800	0
85	85	-0.0426707370035322	-0.1025993149	0	0.243	0.253	-0.0426707370035322	-0.1025993149	1	61800	C1	C1	1000	1000	0	0.5	61800	1
86	86	0.0160759110703501	0.2246538485	0	0.689	0.03	0.0160759110703501	0.2246538485	FGr	61800	C1	C1	1000	1000	0	0.5	61800	1
87	87	0.036602256091	0.306296565	0	0.388	0.003	0.036602256091	0.306296565	NoCorrection	61800	C1	C1	1000	1000	0	0.5	61800	1
88	88	-0.0523789690307497	-0.1680917488	0	0.149	0.049	-0.0523789690307497	-0.1680917488	ID	61800	C1	C1	1000	1000	0	0.5	61800	1
89	89	0.00991459489352993	0.054497532199998	0	0.828	0.609	0.00991459489352993	0.054497532199998	1	1e+05	C1	C1	1000	1000	0	0.5	1e+05	0
90	90	0.00409958596379495	0.0565082710500004	0	0.93	0.612	0.00409958596379495	0.0565082710500004	FGr	1e+05	C1	C1	1000	1000	0	0.5	1e+05	0
91	91	0.00218752520889008	0.0314766420999975	0	0.958	0.785	0.00218752520889008	0.0314766420999975	NoCorrection	1e+05	C1	C1	1000	1000	0	0.5	1e+05	0
92	92	0.00716087422415008	0.0783774454499993	0	0.854	0.462	0.00716087422415008	0.0783774454499993	ID	1e+05	C1	C1	1000	1000	0	0.5	1e+05	0
93	93	-0.038361708459075	-0.0307615128500001	0	0.391	0.771	-0.038361708459075	-0.0307615128500001	1	1e+05	C1	C1	1000	1000	0	0.5	1e+05	1
94	94	0.0497780763760927	0.433683852500001	0	0.296	0	0.0497780763760927	0.433683852500001	FGr	1e+05	C1	C1	1000	1000	0	0.5	1e+05	1
95	95	0.0940604364399499	0.614032005999999	0	0.059	0	0.0940604364399499	0.614032005999999	NoCorrection	1e+05	C1	C1	1000	1000	0	0.5	1e+05	1
96	96	-0.0368381431523	-0.0640903153500008	0	0.414	0.545	-0.0368381431523	-0.0640903153500008	ID	1e+05	C1	C1	1000	1000	0	0.5	1e+05	1
97	1	0.000803980269999984	-0.00578127929999988	0	0.748	0.486	0.000803980269999984	-0.00578127929999988	1	500	C2	C1	1000	1000	0	0.5	500	0
98	2	0.000793638250000006	-0.00574613445000001	0	0.795	0.498	0.000793638250000006	-0.00574613445000001	FGr	500	C2	C1	1000	1000	0	0.5	500	0
99	3	0.000840250050000004	-0.00585117299999995	0	0.757	0.511	0.000840250050000004	-0.00585117299999995	NoCorrection	500	C2	C1	1000	1000	0	0.5	500	0
100	4	0.000753894645000021	-0.00586273805000005	0	0.785	0.534	0.000753894645000021	-0.00586273805000005	ID	500	C2	C1	1000	1000	0	0.5	500	0
101	5	-0.00317554867000001	0.003519725	0	0.477	0.645	-0.00317554867000001	0.003519725	1	500	C2	C1	1000	1000	0	0.5	500	1
102	6	-0.00323980613	0.00493667550000002	0	0.437	0.579	-0.00323980613	0.00493667550000002	FGr	500	C2	C1	1000	1000	0	0.5	500	1
103	7	-0.00301808065000001	0.00166039700000001	0	0.473	0.865	-0.00301808065000001	0.00166039700000001	NoCorrection	500	C2	C1	1000	1000	0	0.5	500	1
104	8	0.000243996399999987	0.00301381049999997	0	0.965	0.668	0.000243996399999987	0.00301381049999997	ID	500	C2	C1	1000	1000	0	0.5	500	1
105	9	-0.007302719725	-0.01695289955	0	0.051	0.136	-0.007302719725	-0.01695289955	1	810	C2	C1	1000	1000	0	0.5	810	0
106	10	-0.00755315271	-0.01517826705	0	0.029	0.168	-0.00755315271	-0.01517826705	FGr	810	C2	C1	1000	1000	0	0.5	810	0
107	11	-0.007594400815	-0.01632345995	0	0.032	0.137	-0.007594400815	-0.01632345995	NoCorrection	810	C2	C1	1000	1000	0	0.5	810	0
108	12	-0.00770370016	-0.0186493673	0	0.033	0.079	-0.00770370016	-0.0186493673	ID	810	C2	C1	1000	1000	0	0.5	810	0
109	13	0.00883979894999997	-0.00439609950000014	0	0.11	0.696	0.00883979894999997	-0.00439609950000014	1	810	C2	C1	1000	1000	0	0.5	810	1
110	14	0.01014580665	-0.00810973350000023	0	0.058	0.472	0.01014580665	-0.00810973350000023	FGr	810	C2	C1	1000	1000	0	0.5	810	1
111	15	0.01012392356	-0.00796268849999996	0	0.072	0.483	0.01012392356	-0.00796268849999996	NoCorrection	810	C2	C1	1000	1000	0	0.5	810	1
112	16	0.00650054042784998	-0.00510254630000004	0	0.125	0.532	0.00650054042784998	-0.00510254630000004	ID	810	C2	C1	1000	1000	0	0.5	810	1
113	17	0.002472216415	0.018504289	0	0.617	0.202	0.002472216415	0.018504289	1	1320	C2	C1	1000	1000	0	0.5	1320	0
114	18	0.002864427165	0.02029040605	0	0.569	0.144	0.002864427165	0.02029040605	FGr	1320	C2	C1	1000	1000	0	0.5	1320	0
115	19	0.0027587358275	0.0199083380499998	0	0.539	0.157	0.0027587358275	0.0199083380499998	NoCorrection	1320	C2	C1	1000	1000	0	0.5	1320	0
116	20	0.002711424395	0.0195560028000002	0	0.584	0.145	0.002711424395	0.0195560028000002	ID	1320	C2	C1	1000	1000	0	0.5	1320	0
117	21	0.0037277955	0.0198983355	0	0.618	0.132	0.0037277955	0.0198983355	1	1320	C2	C1	1000	1000	0	0.5	1320	1
118	22	0.00409942554999999	0.016857839	0	0.565	0.209	0.00409942554999999	0.016857839	FGr	1320	C2	C1	1000	1000	0	0.5	1320	1
119	23	0.00391571599	0.0220301345000002	0	0.611	0.09	0.00391571599	0.0220301345000002	NoCorrection	1320	C2	C1	1000	1000	0	0.5	1320	1
120	24	0.00278026622500001	0.0045580154	0	0.688	0.691	0.00278026622500001	0.0045580154	ID	1320	C2	C1	1000	1000	0	0.5	1320	1
121	25	0.00629355545000003	-0.00891836850000006	0	0.219	0.592	0.00629355545000003	-0.00891836850000006	1	2100	C2	C1	1000	1000	0	0.5	2100	0
122	26	0.00569518644699999	-0.00959833045000001	0	0.255	0.586	0.00569518644699999	-0.00959833045000001	FGr	2100	C2	C1	1000	1000	0	0.5	2100	0
123	27	0.00596920549999993	-0.01367417605	0	0.257	0.421	0.00596920549999993	-0.01367417605	NoCorrection	2100	C2	C1	1000	1000	0	0.5	2100	0
124	28	0.00575646330499998	-0.0125814405	0	0.262	0.46	0.00575646330499998	-0.0125814405	ID	2100	C2	C1	1000	1000	0	0.5	2100	0
125	29	0.014660373618	0.029404566	0	0.053	0.1	0.014660373618	0.029404566	1	2100	C2	C1	1000	1000	0	0.5	2100	1
126	30	0.014674272925	0.02939878	0	0.051	0.067	0.014674272925	0.02939878	FGr	2100	C2	C1	1000	1000	0	0.5	2100	1
127	31	0.01387873795	0.0336399800000001	0	0.064	0.068	0.01387873795	0.0336399800000001	NoCorrection	2100	C2	C1	1000	1000	0	0.5	2100	1
128	32	0.01086376059	-0.000832999050000036	0	0.107	0.953	0.01086376059	-0.000832999050000036	ID	2100	C2	C1	1000	1000	0	0.5	2100	1
129	33	0.010628573835	0.00374705649999994	0	0.126	0.85	0.010628573835	0.00374705649999994	1	3400	C2	C1	1000	1000	0	0.5	3400	0
130	34	0.0104786411252999	0.00628011499999966	0	0.144	0.754	0.0104786411252999	0.00628011499999966	FGr	3400	C2	C1	1000	1000	0	0.5	3400	0
131	35	0.0105037680075	0.0058289435000004	0	0.176	0.774	0.0105037680075	0.0058289435000004	NoCorrection	3400	C2	C1	1000	1000	0	0.5	3400	0
132	36	0.01043021725	0.00620526875	0	0.155	0.749	0.01043021725	0.00620526875	ID	3400	C2	C1	1000	1000	0	0.5	3400	0
133	37	-0.00859576650899994	0.0179955815	0	0.349	0.431	-0.00859576650899994	0.0179955815	1	3400	C2	C1	1000	1000	0	0.5	3400	1
134	38	-0.00758003292399981	0.043803048	0	0.421	0.076	-0.00758003292399981	0.043803048	FGr	3400	C2	C1	1000	1000	0	0.5	3400	1
135	39	-0.00727065670899995	0.0519779305	0	0.437	0.036	-0.00727065670899995	0.0519779305	NoCorrection	3400	C2	C1	1000	1000	0	0.5	3400	1
136	40	-0.01332644015	-0.00842580854999989	0	0.087	0.643	-0.01332644015	-0.00842580854999989	ID	3400	C2	C1	1000	1000	0	0.5	3400	1
137	41	-0.00920222000419982	-0.0133866378999999	0	0.339	0.588	-0.00920222000419982	-0.0133866378999999	1	5500	C2	C1	1000	1000	0	0.5	5500	0
138	42	-0.0103295608175002	-0.00871210469999999	0	0.284	0.739	-0.0103295608175002	-0.00871210469999999	FGr	5500	C2	C1	1000	1000	0	0.5	5500	0
139	43	-0.0102953455499998	-0.00867312375000003	0	0.329	0.708	-0.0102953455499998	-0.00867312375000003	NoCorrection	5500	C2	C1	1000	1000	0	0.5	5500	0
140	44	-0.00926350410165008	-0.0181809665000001	0	0.37	0.447	-0.00926350410165008	-0.0181809665000001	ID	5500	C2	C1	1000	1000	0	0.5	5500	0
141	45	0.000845017618799947	0.0152919965000001	0	0.948	0.594	0.000845017618799947	0.0152919965000001	1	5500	C2	C1	1000	1000	0	0.5	5500	1
142	46	0.00410148948694999	0.0139619310000006	0	0.773	0.635	0.00410148948694999	0.0139619310000006	FGr	5500	C2	C1	1000	1000	0	0.5	5500	1
143	47	0.00383992159199996	0.0342449590000002	0	0.771	0.248	0.00383992159199996	0.0342449590000002	NoCorrection	5500	C2	C1	1000	1000	0	0.5	5500	1
144	48	-0.00707100250849999	-0.0239048081500001	0	0.557	0.314	-0.00707100250849999	-0.0239048081500001	ID	5500	C2	C1	1000	1000	0	0.5	5500	1
145	49	-0.00462774140949999	-0.000515732600000103	0	0.711	0.986	-0.00462774140949999	-0.000515732600000103	1	9000	C2	C1	1000	1000	0	0.5	9000	0
146	50	-0.00461615097499999	0.00542753765000004	0	0.71	0.858	-0.00461615097499999	0.00542753765000004	FGr	9000	C2	C1	1000	1000	0	0.5	9000	0
147	51	-0.0045831289679	0.00283510155000005	0	0.708	0.935	-0.0045831289679	0.00283510155000005	NoCorrection	9000	C2	C1	1000	1000	0	0.5	9000	0
148	52	-0.0045685741226	-0.00152679059999962	0	0.726	0.962	-0.0045685741226	-0.00152679059999962	ID	9000	C2	C1	1000	1000	0	0.5	9000	0
149	53	0.0195116683350001	0.0312651439	0	0.223	0.379	0.0195116683350001	0.0312651439	1	9000	C2	C1	1000	1000	0	0.5	9000	1
150	54	0.0246401306515	0.0545628275	0	0.111	0.135	0.0246401306515	0.0545628275	FGr	9000	C2	C1	1000	1000	0	0.5	9000	1
151	55	0.02492127393558	0.0452790725	0	0.146	0.244	0.02492127393558	0.0452790725	NoCorrection	9000	C2	C1	1000	1000	0	0.5	9000	1
152	56	0.0244262324788	0.0117196242	0	0.067	0.721	0.0244262324788	0.0117196242	ID	9000	C2	C1	1000	1000	0	0.5	9000	1
153	57	-0.00735476042799999	-0.0620207167999999	0	0.672	0.136	-0.00735476042799999	-0.0620207167999999	1	14600	C2	C1	1000	1000	0	0.5	14600	0
154	58	-0.00691792340415	-0.0679365569499999	0	0.703	0.09	-0.00691792340415	-0.0679365569499999	FGr	14600	C2	C1	1000	1000	0	0.5	14600	0
155	59	-0.00688511344509997	-0.0602291098500003	0	0.723	0.136	-0.00688511344509997	-0.0602291098500003	NoCorrection	14600	C2	C1	1000	1000	0	0.5	14600	0
156	60	-0.00742619843985002	-0.0608974917000003	0	0.691	0.15	-0.00742619843985002	-0.0608974917000003	ID	14600	C2	C1	1000	1000	0	0.5	14600	0
157	61	0.0047622827370001	0.0707082334000001	0	0.78	0.07	0.0047622827370001	0.0707082334000001	1	14600	C2	C1	1000	1000	0	0.5	14600	1
158	62	0.0291690498289999	0.071887716550001	0	0.148	0.124	0.0291690498289999	0.071887716550001	FGr	14600	C2	C1	1000	1000	0	0.5	14600	1
159	63	0.0287175074825	0.1099681867	0	0.182	0.017	0.0287175074825	0.1099681867	NoCorrection	14600	C2	C1	1000	1000	0	0.5	14600	1
160	64	-0.00239347067190006	0.0441464582500001	0	0.903	0.268	-0.00239347067190006	0.0441464582500001	ID	14600	C2	C1	1000	1000	0	0.5	14600	1
161	65	-0.0258167081893999	-0.0229042624499999	0	0.27	0.672	-0.0258167081893999	-0.0229042624499999	1	23600	C2	C1	1000	1000	0	0.5	23600	0
162	66	-0.024615754137	-0.02027340805	0	0.294	0.713	-0.024615754137	-0.02027340805	FGr	23600	C2	C1	1000	1000	0	0.5	23600	0
163	67	-0.0260157054456699	-0.0217158184000001	0	0.309	0.664	-0.0260157054456699	-0.0217158184000001	NoCorrection	23600	C2	C1	1000	1000	0	0.5	23600	0
164	68	-0.0245637618530501	-0.00779315155000001	0	0.286	0.879	-0.0245637618530501	-0.00779315155000001	ID	23600	C2	C1	1000	1000	0	0.5	23600	0
165	69	-0.0166512897390014	-0.0158349351500004	0	0.485	0.751	-0.0166512897390014	-0.0158349351500004	1	23600	C2	C1	1000	1000	0	0.5	23600	1
166	70	0.00446086630955039	0.225370967500001	0	0.869	0.002	0.00446086630955039	0.225370967500001	FGr	23600	C2	C1	1000	1000	0	0.5	23600	1
167	71	0.0102463083443799	0.264978796000001	0	0.698	0	0.0102463083443799	0.264978796000001	NoCorrection	23600	C2	C1	1000	1000	0	0.5	23600	1
168	72	-0.0230176264009998	-0.0422953740000002	0	0.346	0.412	-0.0230176264009998	-0.0422953740000002	ID	23600	C2	C1	1000	1000	0	0.5	23600	1
169	73	-0.00693783780560015	-0.0349323605	0	0.77	0.581	-0.00693783780560015	-0.0349323605	1	38200	C2	C1	1000	1000	0	0.5	38200	0
170	74	-0.0102795983639004	-0.0514003001499999	0	0.699	0.42	-0.0102795983639004	-0.0514003001499999	FGr	38200	C2	C1	1000	1000	0	0.5	38200	0
171	75	-0.0114438060509998	-0.06557152515	0	0.651	0.307	-0.0114438060509998	-0.06557152515	NoCorrection	38200	C2	C1	1000	1000	0	0.5	38200	0
172	76	-0.00679043790469984	-0.0278634267999999	0	0.809	0.684	-0.00679043790469984	-0.0278634267999999	ID	38200	C2	C1	1000	1000	0	0.5	38200	0
173	77	-0.0307541852128001	-0.0656364248499998	0	0.274	0.339	-0.0307541852128001	-0.0656364248499998	1	38200	C2	C1	1000	1000	0	0.5	38200	1
174	78	0.000948000985399969	0.29327722165	0	0.984	0	0.000948000985399969	0.29327722165	FGr	38200	C2	C1	1000	1000	0	0.5	38200	1
175	79	0.00586036095929987	0.394775684	0	0.856	0	0.00586036095929987	0.394775684	NoCorrection	38200	C2	C1	1000	1000	0	0.5	38200	1
