	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	stan-c	stan-nc	rep	config	gwas_size	test_size	h2	ts	num_causal	env
18	18	0.11362640935	0.0687657699999999	0	0.439	0.836	0.11362640935	0.0687657699999999	FGr	3400	0.76169128093996	0.202131308547128	C1	C1	1000	1000	0	0.5	3400	
19	19	0.0888537611500001	0.281032845	0	0.563	0.423	0.0888537611500001	0.281032845	NoCorrection	3400	0.595324057455089	0.825638003426498	C1	C1	1000	1000	0	0.5	3400	
20	20	0.00346416358399999	0.00350857119999993	0	0.699	0.842	0.00346416358399999	0.00350857119999993	ID	3400	0.377539627887849	0.186766679470065	C1	C1	1000	1000	0	0.5	3400	
21	21	0.117744456025	0.561842126500003	0	0.176	0.002	0.117744456025	0.561842126500003	1	5500	1.36319499506636	2.77785399172553	C1	C1	1000	1000	0	0.5	5500	
22	22	0.15894159965	0.765329126500001	0	0.109	0.007	0.15894159965	0.765329126500001	FGr	5500	1.59546057713351	2.79953362699632	C1	C1	1000	1000	0	0.5	5500	
23	23	0.1620341002	0.986413767500001	0	0.114	0	0.1620341002	0.986413767500001	NoCorrection	5500	1.60207106525331	3.5645225986669	C1	C1	1000	1000	0	0.5	5500	
24	24	-0.0219430296183999	-0.0333951136000003	0	0.057	0.203	-0.0219430296183999	-0.0333951136000003	ID	5500	-1.88395278592321	-1.3115077254599	C1	C1	1000	1000	0	0.5	5500	
25	25	0.11206693988	0.164495094	0	0.05	0.238	0.11206693988	0.164495094	1	9000	1.94030060013185	1.17064340645304	C1	C1	1000	1000	0	0.5	9000	
26	26	0.157725687855	0.648334894999998	0	0.074	0.003	0.157725687855	0.648334894999998	FGr	9000	1.79373118345957	3.01698967370259	C1	C1	1000	1000	0	0.5	9000	
27	27	0.157979579685	0.654404760999999	0	0.083	0.004	0.157979579685	0.654404760999999	NoCorrection	9000	1.76001831736976	2.95995916511	C1	C1	1000	1000	0	0.5	9000	
28	28	-0.00782027369500006	0.00829275310000026	0	0.537	0.812	-0.00782027369500006	0.00829275310000026	ID	9000	-0.607643197951173	0.253863397146348	C1	C1	1000	1000	0	0.5	9000	
29	29	0.0204308873255	0.138243466	0	0.594	0.124	0.0204308873255	0.138243466	1	14600	0.506801134996223	1.55905786827442	C1	C1	1000	1000	0	0.5	14600	
30	30	0.125474038059999	0.548372689499999	0	0.109	0.001	0.125474038059999	0.548372689499999	FGr	14600	1.624137503384	3.15733769775158	C1	C1	1000	1000	0	0.5	14600	
31	31	0.183316961000499	0.545471855500001	0	0.026	0.002	0.183316961000499	0.545471855500001	NoCorrection	14600	2.20320129754624	3.16504850649781	C1	C1	1000	1000	0	0.5	14600	
32	32	-0.010922274496125	-0.0485008192000003	0	0.522	0.233	-0.010922274496125	-0.0485008192000003	ID	14600	-0.628618169830162	-1.19485125439045	C1	C1	1000	1000	0	0.5	14600	
33	33	0.041236852616	-0.0654964174999999	0	0.146	0.338	0.041236852616	-0.0654964174999999	1	23600	1.46700669695067	-0.947270648642298	C1	C1	1000	1000	0	0.5	23600	
34	34	0.088735619505	0.646359730500001	0	0.143	0	0.088735619505	0.646359730500001	FGr	23600	1.49083976794656	4.91266588826939	C1	C1	1000	1000	0	0.5	23600	
35	35	0.1298830632717	0.610584323	0	0.03	0	0.1298830632717	0.610584323	NoCorrection	23600	2.09101776763406	4.25727395323194	C1	C1	1000	1000	0	0.5	23600	
