	V1	error	rep	config	gwas_size	test_size	L	type
221	5	0.960829062533165	C10	C1	1000	1000	3400	FGr
222	6	0.934406105980242	C10	C1	1000	1000	5500	FGr
223	7	0.905747683404707	C10	C1	1000	1000	9000	FGr
224	8	0.882880026057829	C10	C1	1000	1000	14600	FGr
225	9	0.846361259578063	C10	C1	1000	1000	23600	FGr
226	10	0.758908298058171	C10	C1	1000	1000	38200	FGr
227	11	0.68181145194832	C10	C1	1000	1000	61800	FGr
228	12	0.574800609800942	C10	C1	1000	1000	1e+05	FGr
229	13	0.999973683804746	C10	C1	1000	1000	500	PC1
230	14	0.999865153055215	C10	C1	1000	1000	810	PC1
231	15	0.999232100578084	C10	C1	1000	1000	1320	PC1
232	16	0.973494487329354	C10	C1	1000	1000	2100	PC1
233	17	0.813926364321745	C10	C1	1000	1000	3400	PC1
234	18	0.602763861642741	C10	C1	1000	1000	5500	PC1
235	19	0.395122933000778	C10	C1	1000	1000	9000	PC1
236	20	0.271442852193933	C10	C1	1000	1000	14600	PC1
237	21	0.183071108927778	C10	C1	1000	1000	23600	PC1
238	22	0.110907911426404	C10	C1	1000	1000	38200	PC1
239	23	0.0686716230090063	C10	C1	1000	1000	61800	PC1
240	24	0.0454445165423136	C10	C1	1000	1000	1e+05	PC1
241	1	0.992299989037349	C11	C1	1000	1000	500	FGr
242	2	0.994749328991662	C11	C1	1000	1000	810	FGr
243	3	0.994844253675166	C11	C1	1000	1000	1320	FGr
244	4	0.976384426276102	C11	C1	1000	1000	2100	FGr
245	5	0.988015486530062	C11	C1	1000	1000	3400	FGr
246	6	0.959599634173081	C11	C1	1000	1000	5500	FGr
247	7	0.943437649099546	C11	C1	1000	1000	9000	FGr
248	8	0.921369254720087	C11	C1	1000	1000	14600	FGr
249	9	0.882525767507429	C11	C1	1000	1000	23600	FGr
250	10	0.774784897462048	C11	C1	1000	1000	38200	FGr
251	11	0.728893043256657	C11	C1	1000	1000	61800	FGr
252	12	0.599428848244533	C11	C1	1000	1000	1e+05	FGr
253	13	0.996501732770508	C11	C1	1000	1000	500	PC1
254	14	0.997474786023689	C11	C1	1000	1000	810	PC1
255	15	0.996783833011445	C11	C1	1000	1000	1320	PC1
256	16	0.949971215557298	C11	C1	1000	1000	2100	PC1
257	17	0.878865163833931	C11	C1	1000	1000	3400	PC1
258	18	0.616920017351357	C11	C1	1000	1000	5500	PC1
259	19	0.436605259514905	C11	C1	1000	1000	9000	PC1
260	20	0.277978843392749	C11	C1	1000	1000	14600	PC1
261	21	0.176316350661339	C11	C1	1000	1000	23600	PC1
262	22	0.115379327883686	C11	C1	1000	1000	38200	PC1
263	23	0.0660768872172257	C11	C1	1000	1000	61800	PC1
264	24	0.0448584390977169	C11	C1	1000	1000	1e+05	PC1
265	1	0.982753343924765	C12	C1	1000	1000	500	FGr
266	2	0.994447613884337	C12	C1	1000	1000	810	FGr
267	3	0.983167904530508	C12	C1	1000	1000	1320	FGr
268	4	0.966095104410225	C12	C1	1000	1000	2100	FGr
269	5	0.98762269121252	C12	C1	1000	1000	3400	FGr
270	6	0.956474698555591	C12	C1	1000	1000	5500	FGr
271	7	0.951590423876267	C12	C1	1000	1000	9000	FGr
272	8	0.893687110391749	C12	C1	1000	1000	14600	FGr
273	9	0.886838905093683	C12	C1	1000	1000	23600	FGr
274	10	0.751040446223367	C12	C1	1000	1000	38200	FGr
275	11	0.710863565383871	C12	C1	1000	1000	61800	FGr
276	12	0.582330841866264	C12	C1	1000	1000	1e+05	FGr
277	13	0.999846937262799	C12	C1	1000	1000	500	PC1
278	14	0.999466664323241	C12	C1	1000	1000	810	PC1
279	15	0.996011462579622	C12	C1	1000	1000	1320	PC1
280	16	0.987377580105121	C12	C1	1000	1000	2100	PC1
281	17	0.983187126365751	C12	C1	1000	1000	3400	PC1
282	18	0.59693931889714	C12	C1	1000	1000	5500	PC1
283	19	0.440728456321211	C12	C1	1000	1000	9000	PC1
284	20	0.269672174684041	C12	C1	1000	1000	14600	PC1
285	21	0.178384912369005	C12	C1	1000	1000	23600	PC1
286	22	0.109731289456206	C12	C1	1000	1000	38200	PC1
287	23	0.0719150555275818	C12	C1	1000	1000	61800	PC1
288	24	0.0416680173480015	C12	C1	1000	1000	1e+05	PC1
289	1	0.998423342158117	C13	C1	1000	1000	500	FGr
290	2	0.996647438227917	C13	C1	1000	1000	810	FGr
291	3	0.99576154929151	C13	C1	1000	1000	1320	FGr
292	4	0.993299194024864	C13	C1	1000	1000	2100	FGr
293	5	0.982574605059163	C13	C1	1000	1000	3400	FGr
294	6	0.958680685273915	C13	C1	1000	1000	5500	FGr
